ID,Is_Lead
VBENBARO,0.04196030027900406
CCMEWNKY,0.8640101891781914
VK3KGA9M,0.054435117330994355
TT8RPZVC,0.024116570057941027
SHQZEYTZ,0.023592270377406556
MZZAQMPT,0.08345565316816525
Y88TW36I,0.08144705558767613
3UGOAQNU,0.05540938074563283
VVUKMUJT,0.9956362514078793
9R363ZXS,0.15958627871502956
BLISM6JE,0.05355612016708353
CH8S7JK7,0.24548230170120094
EAHDPXEJ,0.8396833163419469
BNUK9PRF,0.327730615576482
GP2PG6FJ,0.053259374742047894
WNQCSN8A,0.037408009802564576
32DN4YVZ,0.4492489978189145
GXAMDANM,0.05409048232209612
MXETLUP4,0.07256222503652963
MPXK6TVE,0.8373895625196367
LBSIME2K,0.1631554035711492
D6ORJTM6,0.04907240743504573
HGDIBAKA,0.7954357821091766
UUZYL9DZ,0.41780658597504183
AUGE3VWK,0.05080530094412468
MX7GOX6Q,0.0906705642857508
TQN6K35W,0.06312045185218648
QQDRMQQN,0.4909006570201808
UP6GC6F4,0.04830871747277236
BMHBUVHB,0.6404118978378268
KGLDW86A,0.15180570626191844
FQEOMOP4,0.11867094072955706
DYWM5MEU,0.17694991087538564
DXHGXV8F,0.05135928073539224
AVFBFQKC,0.1755275551389461
DBIDKYMV,0.12818668165299651
KYZHMEBY,0.22400582467268054
SSFEBUGF,0.05325340178784421
MGJTAG8X,0.4291377488358066
MP6BERDO,0.18916863814076101
GXZ8ED68,0.052365976981808095
ICTFGWQR,0.6470824542340745
EAYHTRKH,0.023917701181070117
6FN97QLQ,0.10182562224318994
3H5MZDDW,0.3553428578469333
2DXZZWSN,0.04015366820182874
MM4QIRE5,0.07935657292621609
HJWVYXUA,0.13701487092848
RBRSJUP3,0.8180896352918415
YFRQKGXW,0.40163305656235176
N3SADEBV,0.041531834649872174
G2A2YYXY,0.040727205908839825
XMGA3WT3,0.05647676937657394
KVZQPSGI,0.18326197254201854
UAKARBBG,0.04341076475725675
WYKKL85Z,0.23098034016905383
GHNYYGRR,0.11535126575096377
UBAJANWT,0.05140324384594749
LSARSF7U,0.022092783501667223
4CNSJVVR,0.22026338418477115
JRHJSWYO,0.3350519492976316
FHZ8SVVI,0.06535347195991968
JUIRE47M,0.8572249403208495
GDIVN2GL,0.06012731607847458
WMF3DYE3,0.7997174061949537
MAQEHEWK,0.15986330375000907
2W8DLKFU,0.05749968801403653
AKGRML6H,0.11448295746913484
B7WUUGCY,0.04304988194084013
TLJOYATM,0.42365838637497893
UH6ZDM3W,0.8634942262600329
7IP5SSRR,0.7855694665810562
PV85PMEB,0.5275189556673501
FGDOY4NI,0.11323507046354439
7YYIXJQE,0.05958375306778467
BHW42XPW,0.05932974662916429
3PKEEAT4,0.3031196343019809
ACFPZ3LM,0.05466129188293478
6GORGNYN,0.8153009134269567
AEPQTMJK,0.2718412266163354
S6FNZFKK,0.056265302940432325
JTYNEKRQ,0.6840564733939056
GPXDPHHC,0.054598458341118004
O8TMKNNB,0.06018500223876631
XSQVHKYG,0.05190513493731778
MJ3CZRAE,0.02216895815135611
3NSQEYBJ,0.3994019890788927
SXVBASGH,0.051801677225635334
5ZIGZYSS,0.04816846129628757
FQSHBCUT,0.3468034243708815
MU45XUBP,0.050079654340820776
BVULDPBI,0.06217220645903286
82GRNPFG,0.8255045821142808
KKBNELBF,0.04079655235087428
HXQGBDGY,0.05175988097820938
28HDZICG,0.5617387706557355
GHBPKPJC,0.05103277359325507
FDWZFSSC,0.8461738480725959
FWTIWZF3,0.05707819190654726
JYMHVPMY,0.03654781996999814
AHUDO2T6,0.8426255997145644
ACDHABS3,0.2700744041507276
5NTYJJDV,0.07016752208463124
2M4VPY4V,0.08995308600958023
KAHP9XLF,0.07503651769730643
YRLEWZFQ,0.10497036293829645
JZWVLXHJ,0.16199211975099936
JZZSXUKT,0.3050066076406384
93RURE2J,0.8527971433765409
4RNB6FDV,0.23502820224864646
27E7HMMG,0.08592544379414084
2QEFQQWN,0.05434611098997866
DDTCD2XI,0.08790717286592932
VGVEYSEG,0.8212690486602531
WCXVE7RK,0.05102943045069066
RTN4R3UE,0.041744306142761214
K2PVS4RB,0.05068381456222644
Q36J686Z,0.1015819604127961
NWKHMEOF,0.1465044836328663
PVJYQQGT,0.3069727824763733
GPUMRNWC,0.051917834613506034
LXHCDSVH,0.16203832837597373
BNIUPSVK,0.07989886831406687
FW3QI3WW,0.08016624288615488
IEEUGXMY,0.8546652939545989
FVVXDLBO,0.057023755458978954
UC2JJB6Y,0.07317701200459352
3WPAHP52,0.49938513891801495
HDTCJJOE,0.5244517029603932
UCSB9GKK,0.06823484924837073
HANBFYTH,0.13094296216379187
FLUU2HNV,0.05240446832454972
64PIYWDJ,0.18520805364368242
9AHNH8ZX,0.8572627819617997
KLHUI2SE,0.07238110600117476
YRHYUJFW,0.8396495589816488
G5RWWH7F,0.1592999414253679
SCBT9BAX,0.02172950380618325
UGZGLVNB,0.256404318389566
2RRNUFBV,0.8409945193385056
B6O59TEY,0.43061332724758705
CYHRRYH6,0.04866956366230571
GGYZVHWU,0.06513944555639836
K6AM97RN,0.07115978153105308
ATM5JQYM,0.06891162006516875
7GYZSGWA,0.04933878189813584
DFWUDQCR,0.15781193171733632
E2Z98CR3,0.8505708708793701
GD9KTSLY,0.05354467925776637
2AMRA4OD,0.09963702247098502
CFHZ3ZE6,0.39186831655195886
BOMLVM5K,0.05604105342647715
OBBEGBSY,0.44337003158467575
FJEHOK8W,0.03831051996283189
3GMAEVPJ,0.11054226980007634
WAVDLUTH,0.05195799804663934
6EN8GZX6,0.09959773702135685
VXGA3GKB,0.15848551934184588
U4MZ3U8C,0.4849470153064838
GU4RDP8S,0.8518956788434426
N3TPNHCD,0.09309032033747242
JRRHWQC8,0.6214420742235582
NZ5GBHZK,0.043598662501948576
LCUC2LAJ,0.8329274003238494
DJDSU9D2,0.9939073394011583
647K6DBR,0.06190114329235456
7NFXVESK,0.07017469505161737
EWUWF25N,0.05484417512541886
7QKYPLA8,0.05320982835684847
XQVXWBNO,0.056162805870491196
CNWH4MVA,0.05305380419953509
AFJUJFQD,0.08137882756236978
QKMFDX9H,0.16505376987166132
YYMB5QBY,0.07238327525335439
IRY3SEX7,0.24075855853486763
CUAUZJH8,0.18635353893638235
JYFUYQF5,0.3184375241966196
I4NYEDFE,0.4972909932616513
M3RSPRGQ,0.13459885230787136
JIL3KWQN,0.1189124975086859
X4B5ZBWU,0.13918932082390417
AHYTHHSE,0.052487042265693354
E7EHQEQK,0.381993423056595
FAMHAVN3,0.8493912128860537
CCGKCTR6,0.05835638561697352
6DTSELRV,0.05783601891356671
LU8X3G6O,0.2424462923792261
NPFDAUJY,0.052131958276522596
